Char-word-func-N-grams-combination,c,w,f,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-precision,cv-recall,cv-f1,cv-roc_auc,test-acc,test-balanced_acc,test-real-precision,test-real-recall,test-real-f1,test-fake-precision,test-fake-recall,test-fake-f1,test-roc_auc,fpr,tpr,thresholds,Status
3-2-3 char-word-func,3,2,3,17511,norm,SVC,0.56,0.5,0.56,1.0,0.72,0.44,0.55,0.5,0.55,0.99,0.71,0.5,0.01,0.01,0.43,"[0.         0.         0.         0.00581395 0.00581395 0.9127907
 0.9127907  0.99418605 1.        ]","[0.         0.00699301 0.06993007 0.06993007 0.08391608 0.98601399
 0.99300699 0.99300699 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,norm,DecisionTreeClassifier,0.7,0.7,0.74,0.72,0.73,0.7,0.74,0.73,0.72,0.84,0.78,0.76,0.62,0.68,0.73,[0.        0.8372093 1.       ],[0.         0.38461538 1.        ],1,OK
3-2-3 char-word-func,3,2,3,17511,norm,RandomForestClassifier,0.66,0.62,0.63,0.99,0.77,0.82,0.67,0.64,0.63,1.0,0.77,1.0,0.28,0.44,0.83,"[0.         0.00581395 0.09883721 0.11046512 0.24418605 0.24418605
 0.27325581 0.27325581 0.27906977 0.27906977 0.28488372 0.28488372
 0.31976744 0.31976744 0.3372093  0.3372093  0.36627907 0.36627907
 0.38953488 0.38953488 0.40116279 0.40116279 0.4244186  0.4244186
 0.44186047 0.44186047 0.44767442 0.44767442 0.45930233 0.45930233
 0.48255814 0.48255814 0.48837209 0.48837209 0.49418605 0.49418605
 0.51162791 0.51162791 0.56976744 0.56976744 0.5755814  0.5755814
 0.61627907 0.61627907 0.62790698 0.62790698 0.64534884 0.64534884
 0.65697674 0.65697674 0.6627907  0.6627907  0.68023256 0.68023256
 0.68604651 0.68604651 0.73837209 0.73837209 0.75581395 0.75581395
 0.77906977 0.77906977 0.78488372 0.78488372 0.79651163 0.81395349
 0.81395349 0.81976744 0.81976744 0.8255814  0.8255814  0.84302326
 0.84302326 0.84883721 0.84883721 0.88372093 0.88372093 0.89534884
 0.89534884 0.90116279 0.90116279 0.90697674 0.90697674 0.9127907
 0.9127907  0.9244186  0.9244186  0.93023256 0.93023256 0.93604651
 0.93604651 0.94186047 0.94186047 0.95348837 0.95348837 0.95930233
 0.95930233 0.96511628 0.96511628 0.97093023 0.97093023 0.98255814
 0.98255814 0.98837209 0.98837209 0.99418605 0.99418605 1.
 1.        ]","[0.         0.         0.         0.         0.         0.00699301
 0.00699301 0.01398601 0.01398601 0.02097902 0.02097902 0.03496503
 0.03496503 0.04195804 0.04195804 0.05594406 0.05594406 0.06293706
 0.06293706 0.06993007 0.06993007 0.07692308 0.07692308 0.09090909
 0.09090909 0.0979021  0.0979021  0.11888112 0.11888112 0.12587413
 0.12587413 0.13286713 0.13286713 0.13986014 0.13986014 0.14685315
 0.14685315 0.16083916 0.16083916 0.17482517 0.17482517 0.18181818
 0.18181818 0.18881119 0.18881119 0.1958042  0.1958042  0.2027972
 0.2027972  0.20979021 0.20979021 0.21678322 0.21678322 0.23076923
 0.23076923 0.23776224 0.23776224 0.24475524 0.24475524 0.25874126
 0.25874126 0.26573427 0.26573427 0.3006993  0.3006993  0.3006993
 0.30769231 0.30769231 0.31468531 0.31468531 0.32167832 0.32167832
 0.33566434 0.33566434 0.34965035 0.34965035 0.36363636 0.36363636
 0.38461538 0.38461538 0.39160839 0.39160839 0.41258741 0.41258741
 0.42657343 0.42657343 0.44055944 0.44055944 0.44755245 0.44755245
 0.45454545 0.45454545 0.48251748 0.48251748 0.52447552 0.52447552
 0.55244755 0.55244755 0.58041958 0.58041958 0.60839161 0.60839161
 0.66433566 0.66433566 0.69230769 0.69230769 0.71328671 0.71328671
 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,norm,MultinomialNB,0.52,0.52,0.59,0.52,0.55,0.53,0.57,0.56,0.6,0.61,0.61,0.52,0.51,0.52,0.59,"[0.         0.18604651 0.20348837 0.20348837 0.20930233 0.20930233
 0.21511628 0.21511628 0.22093023 0.22093023 0.23255814 0.23255814
 0.23837209 0.23837209 0.24418605 0.24418605 0.25       0.25
 0.26162791 0.26162791 0.28488372 0.28488372 0.29069767 0.29069767
 0.30232558 0.30232558 0.30813953 0.30813953 0.3372093  0.3372093
 0.34883721 0.34883721 0.35465116 0.35465116 0.36046512 0.36046512
 0.36627907 0.36627907 0.38372093 0.38372093 0.4244186  0.4244186
 0.43023256 0.43023256 0.43604651 0.43604651 0.44186047 0.44186047
 0.45930233 0.45930233 0.46511628 0.46511628 0.48255814 0.48255814
 0.49418605 0.49418605 0.5        0.5        0.50581395 0.50581395
 0.52325581 0.52325581 0.55813953 0.55813953 0.56976744 0.56976744
 0.5755814  0.5755814  0.59302326 0.59302326 0.59883721 0.59883721
 0.61046512 0.61046512 0.61627907 0.61627907 0.62209302 0.62209302
 0.62790698 0.62790698 0.63372093 0.63372093 0.63953488 0.63953488
 0.64534884 0.64534884 0.68023256 0.68023256 0.68604651 0.68604651
 0.69186047 0.69186047 0.69767442 0.69767442 0.70348837 0.70348837
 0.72093023 0.72093023 0.73255814 0.73255814 0.75       0.75
 0.76162791 0.76162791 0.78488372 0.78488372 0.79069767 0.79069767
 0.80232558 0.80232558 0.83139535 0.83139535 0.84302326 0.85465116
 0.86046512 0.86046512 0.88372093 0.88372093 0.88953488 0.88953488
 0.89534884 0.89534884 0.90116279 0.90116279 0.90697674 0.90697674
 0.9127907  0.9127907  0.91860465 0.91860465 0.9244186  0.9244186
 0.94186047 0.94186047 0.94767442 0.94767442 0.95348837 0.95348837
 0.95930233 0.95930233 0.98255814 0.98255814 0.99418605 0.99418605
 1.        ]","[0.         0.05594406 0.06293706 0.07692308 0.07692308 0.09090909
 0.09090909 0.0979021  0.0979021  0.1048951  0.1048951  0.11188811
 0.11188811 0.11888112 0.11888112 0.12587413 0.12587413 0.13286713
 0.13286713 0.13986014 0.13986014 0.14685315 0.14685315 0.15384615
 0.15384615 0.16783217 0.16783217 0.17482517 0.17482517 0.18181818
 0.18181818 0.1958042  0.1958042  0.2027972  0.2027972  0.23776224
 0.23776224 0.26573427 0.26573427 0.27972028 0.27972028 0.28671329
 0.28671329 0.29370629 0.29370629 0.30769231 0.30769231 0.32867133
 0.32867133 0.34265734 0.34265734 0.37062937 0.37062937 0.39160839
 0.39160839 0.3986014  0.3986014  0.40559441 0.40559441 0.41258741
 0.41258741 0.41958042 0.41958042 0.44055944 0.44055944 0.44755245
 0.44755245 0.45454545 0.45454545 0.46853147 0.46853147 0.48251748
 0.48251748 0.48951049 0.48951049 0.4965035  0.4965035  0.52447552
 0.52447552 0.53146853 0.53146853 0.53846154 0.53846154 0.56643357
 0.56643357 0.6013986  0.6013986  0.60839161 0.60839161 0.61538462
 0.61538462 0.62237762 0.62237762 0.62937063 0.62937063 0.66433566
 0.66433566 0.67132867 0.67132867 0.67832168 0.67832168 0.68531469
 0.68531469 0.72027972 0.72027972 0.73426573 0.73426573 0.74825175
 0.74825175 0.76223776 0.76223776 0.76923077 0.76923077 0.76923077
 0.76923077 0.78321678 0.78321678 0.79020979 0.79020979 0.7972028
 0.7972028  0.81118881 0.81118881 0.81818182 0.81818182 0.83216783
 0.83216783 0.84615385 0.84615385 0.85314685 0.85314685 0.88811189
 0.88811189 0.93006993 0.93006993 0.94405594 0.94405594 0.95104895
 0.95104895 0.96503497 0.96503497 0.97202797 0.97202797 1.
 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,norm,BernoulliNB,0.55,0.56,0.65,0.43,0.51,0.6,0.61,0.62,0.71,0.48,0.57,0.55,0.77,0.64,0.68,"[0.         0.31976744 0.33139535 0.33139535 0.3372093  0.3372093
 0.37209302 0.37209302 0.37790698 0.37790698 0.39534884 0.39534884
 0.41860465 0.41860465 0.43023256 0.43023256 0.46511628 0.46511628
 0.47674419 0.47674419 0.48837209 0.48837209 0.49418605 0.49418605
 0.50581395 0.50581395 0.52325581 0.52325581 0.54069767 0.54069767
 0.55232558 0.55232558 0.56976744 0.56976744 0.5755814  0.5755814
 0.59302326 0.59302326 0.61046512 0.61046512 0.62209302 0.62209302
 0.62790698 0.62790698 0.63953488 0.63953488 0.64534884 0.64534884
 0.65116279 0.65116279 0.65697674 0.65697674 0.6627907  0.6627907
 0.68023256 0.68023256 0.69186047 0.69186047 0.69767442 0.69767442
 0.70930233 0.70930233 0.71511628 0.71511628 0.73255814 0.73255814
 0.75       0.75       0.75581395 0.75581395 0.77325581 0.77325581
 0.77906977 0.77906977 0.79069767 0.79069767 0.80813953 0.80813953
 0.81395349 0.81395349 0.81976744 0.81976744 0.8255814  0.8255814
 0.8372093  0.8372093  0.84302326 0.84302326 0.86046512 0.86046512
 0.87790698 0.87790698 0.88953488 0.88953488 0.89534884 0.89534884
 0.90116279 0.90116279 0.90697674 0.90697674 0.9127907  0.9127907
 0.91860465 0.91860465 0.93604651 0.93604651 0.94186047 0.94186047
 0.94767442 0.94767442 0.95348837 0.95348837 0.96511628 0.96511628
 0.97093023 0.97093023 0.97674419 0.97674419 0.98255814 0.98255814
 0.99418605 0.99418605 1.         1.        ]","[0.         0.15384615 0.15384615 0.16783217 0.16783217 0.17482517
 0.17482517 0.18881119 0.18881119 0.1958042  0.1958042  0.2027972
 0.2027972  0.20979021 0.20979021 0.21678322 0.21678322 0.23076923
 0.23076923 0.25174825 0.25174825 0.25874126 0.25874126 0.26573427
 0.26573427 0.27972028 0.27972028 0.28671329 0.28671329 0.30769231
 0.30769231 0.31468531 0.31468531 0.32167832 0.32167832 0.32867133
 0.32867133 0.34265734 0.34265734 0.34965035 0.34965035 0.36363636
 0.36363636 0.37062937 0.37062937 0.38461538 0.38461538 0.39160839
 0.39160839 0.3986014  0.3986014  0.41258741 0.41258741 0.43356643
 0.43356643 0.44055944 0.44055944 0.45454545 0.45454545 0.46153846
 0.46153846 0.46853147 0.46853147 0.48251748 0.48251748 0.48951049
 0.48951049 0.4965035  0.4965035  0.51048951 0.51048951 0.51748252
 0.51748252 0.52447552 0.52447552 0.53146853 0.53146853 0.53846154
 0.53846154 0.55244755 0.55244755 0.56643357 0.56643357 0.6013986
 0.6013986  0.61538462 0.61538462 0.63636364 0.63636364 0.65034965
 0.65034965 0.67132867 0.67132867 0.69230769 0.69230769 0.6993007
 0.6993007  0.70629371 0.70629371 0.74125874 0.74125874 0.74825175
 0.74825175 0.76223776 0.76223776 0.76923077 0.76923077 0.78321678
 0.78321678 0.79020979 0.79020979 0.7972028  0.7972028  0.83216783
 0.83216783 0.83916084 0.83916084 0.8951049  0.8951049  0.9020979
 0.9020979  0.93006993 0.93006993 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,norm,AdaBoostClassifier,0.78,0.76,0.74,0.92,0.82,0.85,0.83,0.81,0.78,0.97,0.86,0.94,0.66,0.78,0.93,"[0.         0.00581395 0.25581395 0.25581395 0.38372093 0.38372093
 0.47093023 0.48255814 0.48255814 0.50581395 0.50581395 0.56976744
 0.56976744 0.5872093  0.5872093  0.59302326 0.59302326 0.62790698
 0.62790698 0.64534884 0.64534884 0.65116279 0.65697674 0.68023256
 0.68023256 0.69767442 0.69767442 0.70930233 0.72093023 0.75
 0.76162791 0.79651163 0.79651163 0.86046512 0.86046512 0.86627907
 0.87209302 0.87209302 0.87790698 0.87790698 0.88372093 0.88372093
 0.89534884 0.89534884 0.90116279 0.90697674 0.90697674 0.9127907
 0.9127907  0.93023256 0.93023256 0.94186047 0.94186047 0.95348837
 0.95348837 0.96511628 0.96511628 0.97093023 0.97093023 0.97674419
 0.97674419 0.98255814 0.98255814 0.98837209 0.98837209 0.99418605
 0.99418605 1.         1.        ]","[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203
 0.03496503 0.03496503 0.04195804 0.04195804 0.04895105 0.04895105
 0.05594406 0.05594406 0.06993007 0.07692308 0.07692308 0.07692308
 0.08391608 0.08391608 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.0979021  0.11188811 0.14685315 0.15384615 0.16083916
 0.16083916 0.16783217 0.16783217 0.17482517 0.17482517 0.18181818
 0.18181818 0.23776224 0.23776224 0.24475524 0.25174825 0.25174825
 0.26573427 0.26573427 0.31468531 0.31468531 0.32867133 0.32867133
 0.33566434 0.33566434 0.34965035 0.34965035 0.36363636 0.36363636
 0.37062937 0.37062937 0.3986014  0.3986014  0.54545455 0.54545455
 0.75524476 0.75524476 1.        ]",1,OK
3-2-3 char-word-func,17511,relat,LogisticRegression,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,SVC,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,SVC,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,DecisionTreeClassifier,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,MultinomialNB,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,BernoulliNB,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,17511,relat,AdaBoostClassifier,,,,,,,,,,,,,,,,,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
3-2-3 char-word-func,3,2,3,17511,none (tf),LogisticRegression,0.6,0.6,0.65,0.64,0.64,0.67,0.6,0.59,0.63,0.63,0.63,0.56,0.55,0.55,0.68,"[0.         0.00581395 0.09302326 0.10465116 0.11046512 0.11046512
 0.20930233 0.20930233 0.23255814 0.23255814 0.23837209 0.23837209
 0.26744186 0.26744186 0.33139535 0.33139535 0.3372093  0.3372093
 0.34302326 0.34302326 0.36046512 0.36046512 0.38372093 0.38372093
 0.40116279 0.40116279 0.43023256 0.43023256 0.43604651 0.43604651
 0.44186047 0.44186047 0.45348837 0.45348837 0.45930233 0.45930233
 0.47674419 0.47674419 0.49418605 0.49418605 0.50581395 0.50581395
 0.51162791 0.51162791 0.51744186 0.51744186 0.52325581 0.52325581
 0.53488372 0.53488372 0.54651163 0.54651163 0.55232558 0.55232558
 0.56395349 0.56395349 0.58139535 0.58139535 0.5872093  0.5872093
 0.59302326 0.59302326 0.60465116 0.60465116 0.63372093 0.63372093
 0.63953488 0.63953488 0.6627907  0.6627907  0.6744186  0.6744186
 0.68604651 0.68604651 0.69186047 0.69186047 0.70930233 0.70930233
 0.73255814 0.73255814 0.74418605 0.74418605 0.75       0.75
 0.76744186 0.76744186 0.77325581 0.77325581 0.78488372 0.78488372
 0.79651163 0.79651163 0.80232558 0.80232558 0.81395349 0.81395349
 0.81976744 0.81976744 0.84302326 0.84302326 0.84883721 0.84883721
 0.85465116 0.85465116 0.86046512 0.86046512 0.86627907 0.86627907
 0.88372093 0.88372093 0.88953488 0.88953488 0.89534884 0.89534884
 0.90116279 0.90116279 0.90697674 0.90697674 0.9127907  0.9244186
 0.93023256 0.93023256 0.95930233 0.95930233 0.97093023 0.97093023
 0.97674419 0.97674419 0.98255814 0.98255814 1.         1.        ]","[0.         0.         0.         0.         0.         0.00699301
 0.00699301 0.01398601 0.01398601 0.02097902 0.02097902 0.03496503
 0.03496503 0.05594406 0.05594406 0.06293706 0.06293706 0.06993007
 0.06993007 0.0979021  0.0979021  0.13286713 0.13286713 0.14685315
 0.14685315 0.17482517 0.17482517 0.18881119 0.18881119 0.1958042
 0.1958042  0.20979021 0.20979021 0.22377622 0.22377622 0.23776224
 0.23776224 0.27272727 0.27272727 0.27972028 0.27972028 0.29370629
 0.29370629 0.31468531 0.31468531 0.32867133 0.32867133 0.34965035
 0.34965035 0.35664336 0.35664336 0.37062937 0.37062937 0.37762238
 0.37762238 0.3986014  0.3986014  0.41958042 0.41958042 0.42657343
 0.42657343 0.43356643 0.43356643 0.44755245 0.44755245 0.45454545
 0.45454545 0.46153846 0.46153846 0.47552448 0.47552448 0.5034965
 0.5034965  0.51048951 0.51048951 0.52447552 0.52447552 0.54545455
 0.54545455 0.55244755 0.55244755 0.56643357 0.56643357 0.57342657
 0.57342657 0.58041958 0.58041958 0.58741259 0.58741259 0.59440559
 0.59440559 0.6013986  0.6013986  0.61538462 0.61538462 0.62937063
 0.62937063 0.63636364 0.63636364 0.64335664 0.64335664 0.65034965
 0.65034965 0.65734266 0.65734266 0.66433566 0.66433566 0.69230769
 0.69230769 0.6993007  0.6993007  0.70629371 0.70629371 0.71328671
 0.71328671 0.74825175 0.74825175 0.75524476 0.75524476 0.75524476
 0.75524476 0.78321678 0.78321678 0.83216783 0.83216783 0.83916084
 0.83916084 0.86713287 0.86713287 0.91608392 0.91608392 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,none (tf),SVC,0.62,0.61,0.66,0.65,0.65,0.68,0.63,0.63,0.66,0.66,0.66,0.59,0.59,0.59,0.7,"[0.         0.00581395 0.0755814  0.0755814  0.12790698 0.13953488
 0.15697674 0.15697674 0.18604651 0.18604651 0.20930233 0.20930233
 0.21511628 0.21511628 0.26744186 0.26744186 0.30232558 0.30232558
 0.3255814  0.3255814  0.34883721 0.34883721 0.35465116 0.35465116
 0.36627907 0.36627907 0.38953488 0.38953488 0.40116279 0.40116279
 0.40697674 0.40697674 0.4127907  0.4127907  0.43023256 0.43023256
 0.44767442 0.44767442 0.46511628 0.46511628 0.48255814 0.48255814
 0.48837209 0.48837209 0.49418605 0.49418605 0.50581395 0.50581395
 0.51162791 0.51162791 0.51744186 0.51744186 0.53488372 0.53488372
 0.54069767 0.54069767 0.54651163 0.54651163 0.56395349 0.56395349
 0.56976744 0.56976744 0.58139535 0.58139535 0.59883721 0.59883721
 0.61046512 0.61046512 0.61627907 0.61627907 0.63372093 0.63372093
 0.63953488 0.63953488 0.64534884 0.64534884 0.66860465 0.66860465
 0.68023256 0.68023256 0.68604651 0.68604651 0.72093023 0.72093023
 0.72674419 0.72674419 0.73255814 0.73255814 0.73837209 0.73837209
 0.76744186 0.76744186 0.77325581 0.78488372 0.78488372 0.79651163
 0.79651163 0.81395349 0.81395349 0.81976744 0.81976744 0.8255814
 0.8255814  0.84302326 0.84302326 0.84883721 0.84883721 0.88372093
 0.88372093 0.89534884 0.89534884 0.90116279 0.90116279 0.91860465
 0.91860465 0.9244186  0.9244186  0.94186047 0.94186047 0.95348837
 0.95348837 0.96511628 0.96511628 0.97093023 0.97093023 0.97674419
 0.97674419 0.98255814 0.98255814 0.98837209 0.98837209 0.99418605
 0.99418605 1.         1.        ]","[0.         0.         0.         0.00699301 0.00699301 0.00699301
 0.00699301 0.01398601 0.01398601 0.02097902 0.02097902 0.02797203
 0.02797203 0.03496503 0.03496503 0.04195804 0.04195804 0.04895105
 0.04895105 0.07692308 0.07692308 0.09090909 0.09090909 0.0979021
 0.0979021  0.11188811 0.11188811 0.13286713 0.13286713 0.13986014
 0.13986014 0.14685315 0.14685315 0.16783217 0.16783217 0.18881119
 0.18881119 0.2027972  0.2027972  0.20979021 0.20979021 0.22377622
 0.22377622 0.24475524 0.24475524 0.25174825 0.25174825 0.25874126
 0.25874126 0.26573427 0.26573427 0.27272727 0.27272727 0.28671329
 0.28671329 0.30769231 0.30769231 0.31468531 0.31468531 0.32867133
 0.32867133 0.35664336 0.35664336 0.36363636 0.36363636 0.37062937
 0.37062937 0.37762238 0.37762238 0.38461538 0.38461538 0.39160839
 0.39160839 0.3986014  0.3986014  0.40559441 0.40559441 0.41258741
 0.41258741 0.41958042 0.41958042 0.42657343 0.42657343 0.47552448
 0.47552448 0.48251748 0.48251748 0.48951049 0.48951049 0.4965035
 0.4965035  0.52447552 0.52447552 0.55244755 0.55944056 0.55944056
 0.56643357 0.56643357 0.57342657 0.57342657 0.59440559 0.59440559
 0.62937063 0.62937063 0.64335664 0.64335664 0.65034965 0.65034965
 0.65734266 0.65734266 0.67132867 0.67132867 0.68531469 0.68531469
 0.72027972 0.72027972 0.72727273 0.72727273 0.74825175 0.74825175
 0.78321678 0.78321678 0.83916084 0.83916084 0.86013986 0.86013986
 0.87412587 0.87412587 0.9020979  0.9020979  0.91608392 0.91608392
 0.97902098 0.97902098 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,none (tf),SVC,0.56,0.5,0.56,1.0,0.72,0.5,0.55,0.5,0.55,0.99,0.71,0.5,0.01,0.01,0.5,[0.         0.99418605 1.        ],[0.         0.99300699 1.        ],1,OK
3-2-3 char-word-func,3,2,3,17511,none (tf),DecisionTreeClassifier,0.7,0.7,0.74,0.72,0.73,0.7,0.74,0.73,0.72,0.84,0.78,0.76,0.62,0.68,0.73,[0.        0.8372093 1.       ],[0.         0.38461538 1.        ],1,OK
3-2-3 char-word-func,3,2,3,17511,none (tf),RandomForestClassifier,0.66,0.62,0.63,0.99,0.77,0.82,0.67,0.64,0.63,1.0,0.77,1.0,0.28,0.44,0.83,"[0.         0.00581395 0.09883721 0.11046512 0.24418605 0.24418605
 0.27325581 0.27325581 0.27906977 0.27906977 0.28488372 0.28488372
 0.31976744 0.31976744 0.3372093  0.3372093  0.36627907 0.36627907
 0.38953488 0.38953488 0.40116279 0.40116279 0.4244186  0.4244186
 0.44186047 0.44186047 0.44767442 0.44767442 0.45930233 0.45930233
 0.48255814 0.48255814 0.48837209 0.48837209 0.49418605 0.49418605
 0.51162791 0.51162791 0.56976744 0.56976744 0.5755814  0.5755814
 0.61627907 0.61627907 0.62790698 0.62790698 0.64534884 0.64534884
 0.65697674 0.65697674 0.6627907  0.6627907  0.68023256 0.68023256
 0.68604651 0.68604651 0.73837209 0.73837209 0.75581395 0.75581395
 0.77906977 0.77906977 0.78488372 0.78488372 0.79651163 0.81395349
 0.81395349 0.81976744 0.81976744 0.8255814  0.8255814  0.84302326
 0.84302326 0.84883721 0.84883721 0.88372093 0.88372093 0.89534884
 0.89534884 0.90116279 0.90116279 0.90697674 0.90697674 0.9127907
 0.9127907  0.9244186  0.9244186  0.93023256 0.93023256 0.93604651
 0.93604651 0.94186047 0.94186047 0.95348837 0.95348837 0.95930233
 0.95930233 0.96511628 0.96511628 0.97093023 0.97093023 0.98255814
 0.98255814 0.98837209 0.98837209 0.99418605 0.99418605 1.
 1.        ]","[0.         0.         0.         0.         0.         0.00699301
 0.00699301 0.01398601 0.01398601 0.02097902 0.02097902 0.03496503
 0.03496503 0.04195804 0.04195804 0.05594406 0.05594406 0.06293706
 0.06293706 0.06993007 0.06993007 0.07692308 0.07692308 0.09090909
 0.09090909 0.0979021  0.0979021  0.11888112 0.11888112 0.12587413
 0.12587413 0.13286713 0.13286713 0.13986014 0.13986014 0.14685315
 0.14685315 0.16083916 0.16083916 0.17482517 0.17482517 0.18181818
 0.18181818 0.18881119 0.18881119 0.1958042  0.1958042  0.2027972
 0.2027972  0.20979021 0.20979021 0.21678322 0.21678322 0.23076923
 0.23076923 0.23776224 0.23776224 0.24475524 0.24475524 0.25874126
 0.25874126 0.26573427 0.26573427 0.3006993  0.3006993  0.3006993
 0.30769231 0.30769231 0.31468531 0.31468531 0.32167832 0.32167832
 0.33566434 0.33566434 0.34965035 0.34965035 0.36363636 0.36363636
 0.38461538 0.38461538 0.39160839 0.39160839 0.41258741 0.41258741
 0.42657343 0.42657343 0.44055944 0.44055944 0.44755245 0.44755245
 0.45454545 0.45454545 0.48251748 0.48251748 0.52447552 0.52447552
 0.55244755 0.55244755 0.58041958 0.58041958 0.60839161 0.60839161
 0.66433566 0.66433566 0.69230769 0.69230769 0.72027972 0.72027972
 1.        ]",1,OK
3-2-3 char-word-func,3,2,3,17511,none (tf),MultinomialNB,0.54,0.54,0.6,0.54,0.57,0.56,0.6,0.6,0.64,0.61,0.62,0.56,0.59,0.57,0.62,"[0.         0.4244186  0.4244186  0.45348837 0.45348837 0.46511628
 0.47093023 0.51744186 0.51744186 0.52325581 0.52325581 0.52906977
 0.52906977 0.53488372 0.53488372 0.54651163 0.54651163 0.56395349
 0.56395349 0.56976744 0.56976744 0.58139535 0.58139535 0.5872093
 0.5872093  0.59302326 0.59302326 0.59883721 0.59883721 0.61046512
 0.61046512 0.61627907 0.61627907 0.62209302 0.62209302 0.62790698
 0.62790698 0.63953488 0.63953488 0.65116279 0.65116279 0.65697674
 0.65697674 0.6627907  0.6627907  0.6744186  0.6744186  0.69767442
 0.69767442 0.70348837 0.70348837 0.71511628 0.71511628 0.72093023
 0.72093023 0.72674419 0.72674419 0.73837209 0.73837209 0.76744186
 0.76744186 0.77906977 0.78488372 0.78488372 0.79069767 0.79069767
 0.80232558 0.80232558 0.80813953 0.80813953 0.81395349 0.81395349
 0.81976744 0.81976744 0.8255814  0.8255814  0.8372093  0.8372093
 0.84302326 0.84302326 0.84883721 0.84883721 0.85465116 0.85465116
 0.86046512 0.86046512 0.89534884 0.89534884 0.90116279 0.90116279
 0.9127907  0.9127907  0.9244186  0.93023256 0.93023256 0.93604651
 0.93604651 0.94186047 0.94186047 0.94767442 0.94767442 0.95930233
 0.95930233 0.97093023 0.97093023 0.97674419 0.97674419 0.98255814
 0.98255814 0.99418605 0.99418605 1.        ]","[0.         0.24475524 0.25874126 0.25874126 0.26573427 0.26573427
 0.27272727 0.27272727 0.29370629 0.29370629 0.3006993  0.3006993
 0.31468531 0.31468531 0.32867133 0.32867133 0.33566434 0.33566434
 0.34965035 0.34965035 0.35664336 0.35664336 0.36363636 0.36363636
 0.38461538 0.38461538 0.3986014  0.3986014  0.40559441 0.40559441
 0.41958042 0.41958042 0.44755245 0.44755245 0.46153846 0.46153846
 0.46853147 0.46853147 0.48251748 0.48251748 0.48951049 0.48951049
 0.5034965  0.5034965  0.51048951 0.51048951 0.53846154 0.53846154
 0.55244755 0.55244755 0.55944056 0.55944056 0.56643357 0.56643357
 0.58041958 0.58041958 0.59440559 0.59440559 0.62237762 0.62237762
 0.65034965 0.65034965 0.65034965 0.65734266 0.65734266 0.66433566
 0.66433566 0.67832168 0.67832168 0.69230769 0.69230769 0.6993007
 0.6993007  0.70629371 0.70629371 0.71328671 0.71328671 0.74125874
 0.74125874 0.74825175 0.74825175 0.75524476 0.75524476 0.76923077
 0.76923077 0.7972028  0.7972028  0.8041958  0.8041958  0.83216783
 0.83216783 0.83916084 0.83916084 0.83916084 0.85314685 0.85314685
 0.86713287 0.86713287 0.87412587 0.87412587 0.88111888 0.88111888
 0.88811189 0.88811189 0.8951049  0.8951049  0.9020979  0.9020979
 0.96503497 0.96503497 1.         1.        ]",1,OK
